no_sample;AtriUndu;BlepTric;BracRefl;BracRuta;CallHald;CalyAzur;CalyFiss;CalyMuel;CalySuec;CephBicu;CephCate;CephLeuc;CephLunu;DicrDenu;DicrMont;DicrScop;HarpScut;HerzSeli;HypnAndo;HypnCupr;HypnPall;ChilPoly;ChilProf;JungLeia;LepiRept;NoweCurv;ParaLong;PlagPore;PlagCurv;PlagDent;PlagLaet;PlagNemo;PlagSucc;PlatRepe;PolyForm;RhizPunc;RiccLati;RiccPalm;SaniUnci;SyzyAutu;TetrPell;TritExse;;
72;0;0;0;0;0;0;0;0;0,1;10;5;0;5;10;3;0,1;0,5;10;0;0;0,1;0;0;0;3;0,5;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0,1;3;0;;15
73;0;0;0;0;0;0;0;0;0;0;1;0;1;50;0;0,1;0,5;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;1;0;;9
74;0;0;0;0;0;0;0;0;0;3;0;0;5;40;0,5;0;0,5;0,1;0;0;0;0;0;0;0,5;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0,5;0;;10
75;0;0,5;0;0;0;0;0;0;0,1;5;3;0;0;15;0,5;0,5;0;15;0,1;0;1;0,5;0;0;1;0,1;0;0;0,1;0,5;0;0;0;0;0;0;0;0;0;0,1;5;0;;17
76;0;3;0;0,1;0;0;0;0;0,5;3;0;0;0;3;0;0,1;0,1;10;0;0;0;0;0,5;0,5;5;0;0;0;0;0,5;0;0;0;0;0;0,1;0,5;0;0;0;3;0;;15
77;0;0;0;0;0;0;0;0;0,1;5;1;0;0;15;0;0,5;0;5;0;0;0;0;0;0;5;0,5;0;0;0;1;0;0;0;0;0;0,1;0;0;0;0;5;0;;11
79;0;5;0;0;0;0;0;0;0,1;5;0,5;0;0,5;5;0,5;0,1;0;3;0;0;0;0;0;0;1;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;1;0;;12
80;0;0,5;0;0;0;0;0;0;0;5;0;0;0;0;5;0,5;0;15;0;0;0;0,1;0,1;0,1;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;10
87;0;0,1;0;0;0;0;0;0;0;0;1;0;0;3;0,5;0,1;0;0;0;0;0;0;0;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;;8
88;0;0;0;0;0,1;0;0;0;0;0;3;0;3;15;0,5;5;0;0;0,5;0;0;0;0;0;1;3;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;10;0;;11
89;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,5;0,1;0;20;0,5;0;0;0;5;0;0,5;3;0;0;0,1;0;0;0,1;0;0;0;0;0;0;0;0;0;0;;10
90;0;1;0;0;0;0;0;0;0;1;0;0;0,1;10;0,5;0,5;0;1;0,5;0;1;0;0,1;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;;12
91;0;0,5;0;0;0;0;0;0;0;1;1;0;3;0,5;0,5;0;0;1;0,5;0;5;0;0;0;0;3;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;3;0;;12
92;0;0,1;0;0;0;0;0;0;0;1;3;0;0;25;3;1;0;3;0,1;0;10;0;0;0;0,1;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0,1;;14
95;0;0,1;0;0;0;0;0;0;0;0;3;0;1;5;0,1;5;0;5;0,1;0;0,1;0;0,1;0;1;1;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;10;0;;14
96;0;0,1;0;0;0;0;0;0;0;0,5;0;0;0;5;15;1;0;5;0,5;0;10;0;0,5;0;0;5;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;1;0;;12
97;0;0;0;0;0;0;0;0;0;0;0,5;0;0,5;10;0,5;0,1;0;3;0;0;0;0;0;0;3;0,5;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;10;0;;10
98;0;0;0;0;0;0;0;0;0;30;0,1;0;0,5;30;1;0,5;0;0,5;0,1;0;0;0;0;0;1;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;;11
99;0;0;0;0;0;0;0;0;0;0,1;0;0;0,1;0,5;0,5;0,1;0;5;0;0;0;0;0,1;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0,5;0;;9
201;0;0;0;0;0;0;0;0;0,1;10;5;0;0;15;0;1;1;5;1;0;0,5;0;0,1;0;5;0,5;0;0;0,1;0,5;0;0;0;0;0,1;0,1;0;0;0;0,1;1;0;;18
202;0;0,5;0;0;0;0;0;0;0,5;3;0,5;0;0;0;0,5;0,1;0;5;0,1;0;0,5;0;0,5;0;3;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;12
